museo_id,museo_nombre,museo_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,museo_calle_numero,museo_colonia,museo_cp,gmaps_longitud,gmaps_latitud
217,Museo de Arte Contemporáneo No. 8,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Morelos s/n esq. Primo Verdad,Centro,20000,-102.29483,21.8829
1790,Museo Espacio,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Manuel Gómez Morín s/n, Complejo Macro Espacuo para la Cultura y las Artes (MECA)",Ant. Talleres del FFCC,20259,-102.28105,21.89084
929,Museo Ferrocarrilero,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Plaza de las Tres Centurias, Av. 28 de Agosto s/n",Barrio de la Estación,20059,-102.28093,21.88477
1808,Museo Escárcega,"Museo Escárcega, A.C.",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Ezequiel A. Chávez 311,Barrio de la Purísima,20000,-102.28575,21.88473
1169,Museo Nacional de la Muerte,Universidad Autónoma de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Rivero y Gutiérrez esq. Morelos,Centro,20000,-102.29551,21.88397
1453,Museo de Sitio los Arquitos,Instituto Cultural de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Alameda y Héroe de Nacozari,Barrio La Purísima,20000,-102.28221,21.88298
2020,Museo de Sitio del Teatro Morelos,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Nieto 113, Plaza de la Patria de Aguascalientes",Zona Centro,20000,-102.29702,21.88021
602,Descubre. Museo Interactivo de Ciencia y Tecnología,Instituto para el Desarrollo de la Sociedad y el Conocimiento del Estado de Aguascalientes (IDSCEA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. San Miguel s/n,Fracc. Jardines del Parque,20270,-102.28929,21.85596
223,Museo de Aguascalientes,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Zaragoza 505,Centro,20000,-102.29129,21.88575
1046,Museo José Guadalupe Posada,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Jardín del Encino s/n lado Nte.,Barrio del Encino,20240,-102.29285,21.87537
219,Museo Regional de Historia de Aguascalientes,Secretaría de Cultura/INAH,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Venustiano Carranza 118,Centro,20000,-102.2982,21.88035
361,Museo de la Fauna ,Secretaría del Medio Ambiente Estatal/CEAR Rodolfo Landeros Gallegos,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Blvd. José María Chávez s/n,Col. Ciudad Industrial,20290,-102.29124,21.85177
2157,Museo Nacional de los Pueblos Mágicos,Ayuntamiento de Calvillo/Secretaría de Turismo,1,Aguascalientes,3,Calvillo,1,Calvillo,Av. Benito Juárez 312,Centro,20800,-102.71875,21.84691
1047,Museo Comunitario del Deporte e Historia," Asociación Civil de Pabellonences, A.C.",1,Aguascalientes,6,Pabellón de Arteaga,1,Pabellón de Arteaga,Av. 16 de Septiembre s/n esq. Irrigación,Centro,20660,-102.27492,22.14667
1048,Museo de la Insurgencia,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,1,Aguascalientes,7,Rincón de Romos,1,Rincón de Romos,Plaza 24 de Enero 19,Centro,20436,-102.34162,22.17491
1069,Museo Comunitario del Juguete Tradicional Mexicano,Instituto Cultural de Aguascalientes (ICA)/Programa de Apoyo a las Culturas Municipales y Comunitarias,1,Aguascalientes,11,San Francisco de los Romo,1,San Francisco de los Romo,Benito Juárez Nte. 410,Centro,20300,-102.27265,22.08377
