comp_cine_id,comp_cine_nombre,comp_cine_npantallas,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,comp_cine_calle_numero,comp_cine_colonia,comp_cine_cp,gmaps_longitud,gmaps_latitud
1,Cinépolis Altaria,10,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Blvd. a Zacatecas Norte 849,Col. Trojes de Alonso,20116,-102.28993,21.92495
879,Cinépolis Espacio Aguascalientes,8,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Principal s/n,Ejido Ojo Caliente,20198,-102.26224,21.88064
5,Cinépolis Sur Aguascalientes,12,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Blvd. José María Chávez 1809 ,Fracc. Prados de Villasunción,20280,-102.29296,21.85234
2,Cinemex Expoplaza Aguascalientes,10,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Rayón esq. Rincón s/n,Centro,20000,-102.30676,21.87624
4,Cinemex Aguacalientes,10,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Independencia 2351 ,Col. Trojes de Alonso,20130,-102.2975,21.92364
3,Cinépolis VIP Altaria,10,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Blvd. Zacatecas Nte. 849,Col. Trojes de Alonso,20116,-102.2893,21.92435
425,Cinemas Kristal,7,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Adolfo López Mateos Ote. 1001 ,Col. San Luis,20250,-102.28096,21.87822
663,Sala Alternativa Auditorium,1,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Héroe de Nacozari Sur 902,U. H. IV Centenario,20260,-102.28145,21.87208
880,Cinépolis Velaria Mall,7,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. de los Maestros 2615,Fracc. Nueva España,20200,-102.3169,21.85846
6,Cinépolis Aguascalientes,14,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Aguascalientes 1601 Pte. esq. Canal Interceptor,Fracc. Fundición,20230,-102.31516,21.9039
667,Intercinemas Calvillo,2,1,Aguascalientes,3,Calvillo,1,Calvillo,Av. Benito Juárez 209,Centro,20800,-102.71682,21.84705
7,Cinépolis Plaza Marina,11,2,Baja California,1,Ensenada,1,Ensenada,Blvd. Costero 656,Zona Centro,22800,-116.62716,31.86146
8,Cinépolis Macroplaza del Mar,12,2,Baja California,1,Ensenada,1,Ensenada,"Av. Pedro Loyola ext. 612, loc. 1-B Mz. 54",Col. Carlos Pacheco,22830,-116.60306,31.82138
11,Cinépolis Galerias del Valle Mexicali,12,2,Baja California,2,Mexicali,1,Mexicali,Calz. Lázaro Cárdenas 2200,Col. El Porvenir,21220,-115.50729,32.62192
9,Cinemex Mundo Divertido Mexicali,7,2,Baja California,2,Mexicali,1,Mexicali,Blvd. Adolfo López Mateos 856,Col. Zona Industrial,21150,-115.47793,32.65586
13,Cinépolis Nuevo Mexicali,12,2,Baja California,2,Mexicali,1,Mexicali,Prol. calle novena s/n,Col. Nuevo Mexicali,21399,-115.38608,32.61299
15,Cinépolis Plaza Centenario,12,2,Baja California,2,Mexicali,1,Mexicali,"Blvd. Lázaro Cárdenas 2139, local 1",Fracc. Residencia esq. Benito Juárez,21280,-115.44296,32.62488
10,Cinépolis Plaza San Pedro Mexicali,12,2,Baja California,2,Mexicali,1,Mexicali,"Calz. Cetys 1801, int. 1",Col. Rivera,21259,-115.41321,32.65544
14,Cinemex Mexicali,14,2,Baja California,2,Mexicali,1,Mexicali,Blvd. Lázaro Cárdenas 2000,Col. Plutarco Elías Calles ,21376,-115.40682,32.62326
12,Cinépolis  Mexicali Centro Cívico,11,2,Baja California,2,Mexicali,1,Mexicali,Av. de los Héroes y Libertad s/n,Centro Cívico,21000,-115.47209,32.64539
18,Cinépolis Tecate,7,2,Baja California,3,Tecate,1,Tecate,"Blvd. Nuevo León 700, local 40",Col. El Pedregal,21460,-116.63424,32.56601
26,Cinépolis Carrousel,12,2,Baja California,4,Tijuana,1,Tijuana,Blvd. Gustavo Díaz Ordaz 15602,Fracc. Las Brisas,22610,-116.95962,32.4981
20,Cinemex Mundo Divertido Tijuana,6,2,Baja California,4,Tijuana,1,Tijuana,Vía Rápida Poniente 15035 ,Fracc. San José 2a. etapa,22610,-116.9568,32.50401
24,Cinépolis Plaza Río Tijuana,14,2,Baja California,4,Tijuana,1,Tijuana,Av. Paseo de los héroes 9550 local C-2 Altos,Zona Río,22320,-117.01817,32.52681
582,Oasis Cinemex,9,2,Baja California,4,Tijuana,1,Tijuana,Av. Baja California 23911,Fracc. Real de San Francisco,22235,-116.85394,32.48582
544,Cinemex Pacífico ,8,2,Baja California,4,Tijuana,1,Tijuana,Libramiento Oriente 7501,Parque Industrial Pacifico,22643,-116.99374,32.47482
29,Cinépolis Playa Tijuana,8,2,Baja California,4,Tijuana,1,Tijuana,"Paseo Ensenada 502, int. 36",Sección Coronado,22505,-117.11353,32.53172
798,Cinépolis Galerías Hipódromo,8,2,Baja California,4,Tijuana,1,Tijuana,Calle Agua Caliente 11999,Hipodromo Agua Caliente,22024,-116.99298,32.5084
25,Cinemex Macroplaza Tijuana,9,2,Baja California,4,Tijuana,1,Tijuana,Blvd. Insurgentes 18015,Rio Tijuana 3a. Etapa,22226,-116.93345,32.49381
23,Cinépolis Plaza Monarca,14,2,Baja California,4,Tijuana,1,Tijuana,Blvd. Manuel J. Clouthier 18561,Fracc. Lago Sur,22550,-116.93323,32.49268
