id,nombre,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,universidad_calle_numero,universidad_colonia,universidad_cp,gmaps_longitud,gmaps_latitud,,
2640,Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación (INFOTEC) Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Circuito Tecnopolo Sur 112,Fracc. Tecnopolo Pocitos,20313,-102.29605,21.87982,,
1282,"Instituto Guadalupe Victoria, A.C.",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Estrella Polar 102,Col. Bona Gens,20255,-102.26604,21.87616,,
1279,Universidad CLEA,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"República del Salvador 1619, piso 1",Fracc.  Valle Dorado,20235,-102.30507,21.86289,,
2647,CentroGeo Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Circuito Tecnopolo Norte 117,Fracc. Tecnopolo Pocitos,20313,-102.29605,21.87982,,
1265,Universidad Villasunción,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. de las Américas 601 esq. Brasilia,Fracc. Las Fuentes,20230,-102.3021,21.8709,,
1261,"Universidad del Valle de Atemajac,  Plantel Aguascalientes",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Siglo XXI núm. 7501,Fracc. Solidaridad III,20263,-102.25199,21.85691,,
2652,Colegio Latinoamericano de Educación Avanzada,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"República del Salvador 1619, 1er. piso",Col. Valle Dorado,20235,-102.29605,21.87982,,
104,Universidad Pedagógica Nacional (UPN) U-011 Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,J. Jesús Consuelo 226,Col. Gremial Ferrocarrilera,20030,-102.28432,21.89113,,
1280,Escuela Normal de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Paseo de la Cruz 904 ,Fracc. IV Centenario,20260,-102.28063,21.87265,,
1284,Escuela Normal Superior Federal de Aguascalientes Profr. José Santos Valdés,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Blvd. Nazario Ortiz Garza s/n  ,Col. Santa Anita,20170,-102.2736,21.89806,,
208,"Universidad Cuauhtémoc,  Plantel Aguascalientes",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Adolfo López Mateos 102,Col. Trojes de Alonso,20908,-102.30019,21.94139,,
2654,"Instituto de Estudios Superiores ISIMA, Plantel Aguascalientes ",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Lic. Adolfo López Mateos Ote 327,Barrio del Encino,20240,-102.29605,21.87982,,
1255,Universidad Tecnológica Metropolitana,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Calle La Luna 105 ,Barrio de la Salud,20240,-102.28492,21.87257,,
1606,Universidad de las Artes del Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Gómez Morín s/n Tres Centurias,Col. Ferronales ,20180,-102.28072,21.88916,,
1285,Escuela Superior de Prótesis Dental Esprode,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Aguascalientes 1406 Pte.,Colinas del Río,20010,-102.31727,21.89756,,
2598,Universidad Nissan,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Km 75 Carretera Federal Lagos de Moreno,San Gerardo,,0,0,,
2603,"Universidad Cuauhtémoc, Sede Sur Aguascalientes",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. José Ma. Chávez 1173,Col. Obraje,20230,0,0,,
